"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000100033.17","brown","ENSG00000100033","PRODH",FALSE
"ENSG00000226025.10","lightcyan","ENSG00000226025","LGALS17A",FALSE
"ENSG00000188582.10","blue","ENSG00000188582","PAQR9",FALSE
"ENSG00000175535.6","white","ENSG00000175535","PNLIP",FALSE
"ENSG00000107165.13","blue","ENSG00000107165","TYRP1",FALSE
"ENSG00000166091.21","grey60","ENSG00000166091","CMTM5",FALSE
"ENSG00000175262.14","blue","ENSG00000175262","C1orf127",FALSE
"ENSG00000071282.12","blue","ENSG00000071282","LMCD1",FALSE
"ENSG00000005471.19","blue","ENSG00000005471","ABCB4",FALSE
"ENSG00000114737.16","black","ENSG00000114737","CISH",FALSE
"ENSG00000082293.13","greenyellow","ENSG00000082293","COL19A1",FALSE
"ENSG00000169047.6","blue","ENSG00000169047","IRS1",TRUE
"ENSG00000251448.2","brown","ENSG00000251448","ENSG00000251448",FALSE
"ENSG00000206561.14","blue","ENSG00000206561","COLQ",FALSE
"ENSG00000181418.8","grey","ENSG00000181418","DDN",FALSE
"ENSG00000140798.17","blue","ENSG00000140798","ABCC12",FALSE
"ENSG00000122756.15","grey60","ENSG00000122756","CNTFR",FALSE
"ENSG00000034971.17","turquoise","ENSG00000034971","MYOC",FALSE
"ENSG00000115602.17","black","ENSG00000115602","IL1RL1",FALSE
"ENSG00000227471.9","brown","ENSG00000227471","AKR1B15",FALSE
"ENSG00000205215.8","darkgreen","ENSG00000205215","KRT17P7",FALSE
"ENSG00000122367.21","blue","ENSG00000122367","LDB3",FALSE
"ENSG00000187288.12","green","ENSG00000187288","CIDEC",FALSE
"ENSG00000285564.2","blue","ENSG00000285564","ENSG00000285564",FALSE
"ENSG00000169436.17","darkgrey","ENSG00000169436","COL22A1",FALSE
"ENSG00000091986.16","blue","ENSG00000091986","CCDC80",FALSE
"ENSG00000249116.2","grey","ENSG00000249116","IRX4-AS1",FALSE
"ENSG00000151632.18","red","ENSG00000151632","AKR1C2",FALSE
"ENSG00000268240.1","brown","ENSG00000268240","ENSG00000268240",FALSE
"ENSG00000127241.18","blue","ENSG00000127241","MASP1",FALSE
"ENSG00000168621.15","grey","ENSG00000168621","GDNF",FALSE
"ENSG00000158022.7","brown","ENSG00000158022","TRIM63",FALSE
"ENSG00000286661.1","blue","ENSG00000286661","ENSG00000286661",FALSE
"ENSG00000149115.14","brown","ENSG00000149115","TNKS1BP1",FALSE
"ENSG00000196465.10","yellow","ENSG00000196465","MYL6B",FALSE
"ENSG00000188338.15","blue","ENSG00000188338","SLC38A3",FALSE
"ENSG00000181092.10","green","ENSG00000181092","ADIPOQ",FALSE
"ENSG00000197616.13","red","ENSG00000197616","MYH6",FALSE
"ENSG00000264424.1","yellow","ENSG00000264424","MYH4",FALSE
"ENSG00000178752.16","greenyellow","ENSG00000178752","ERFE",FALSE
"ENSG00000234281.5","yellow","ENSG00000234281","LANCL1-AS1",FALSE
"ENSG00000168386.19","blue","ENSG00000168386","FILIP1L",FALSE
"ENSG00000163492.16","blue","ENSG00000163492","CCDC141",FALSE
"ENSG00000091262.17","blue","ENSG00000091262","ABCC6",FALSE
"ENSG00000172179.13","white","ENSG00000172179","PRL",FALSE
"ENSG00000072274.13","yellow","ENSG00000072274","TFRC",FALSE
"ENSG00000280334.1","black","ENSG00000280334","ENSG00000280334",FALSE
"ENSG00000131203.13","blue","ENSG00000131203","IDO1",FALSE
"ENSG00000260460.1","black","ENSG00000260460","ENSG00000260460",FALSE
"ENSG00000288920.1","grey","ENSG00000288920","RPSAP58",FALSE
"ENSG00000158008.10","blue","ENSG00000158008","EXTL1",FALSE
"ENSG00000006025.12","yellow","ENSG00000006025","OSBPL7",FALSE
"ENSG00000165269.13","blue","ENSG00000165269","AQP7",FALSE
"ENSG00000168928.13","white","ENSG00000168928","CTRB2",FALSE
"ENSG00000150893.11","blue","ENSG00000150893","FREM2",FALSE
"ENSG00000188089.13","blue","ENSG00000188089","PLA2G4E",FALSE
"ENSG00000162383.13","blue","ENSG00000162383","SLC1A7",FALSE
"ENSG00000260542.1","turquoise","ENSG00000260542","ENSG00000260542",FALSE
"ENSG00000173221.14","brown","ENSG00000173221","GLRX",FALSE
"ENSG00000143318.13","yellow","ENSG00000143318","CASQ1",FALSE
"ENSG00000253227.2","grey","ENSG00000253227","ENSG00000253227",FALSE
"ENSG00000131910.5","blue","ENSG00000131910","NR0B2",FALSE
"ENSG00000175264.8","black","ENSG00000175264","CHST1",FALSE
"ENSG00000101825.8","blue","ENSG00000101825","MXRA5",FALSE
"ENSG00000188372.15","grey","ENSG00000188372","ZP3",FALSE
"ENSG00000159784.18","blue","ENSG00000159784","FAM131B",FALSE
