"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000135318.12","turquoise",0.854002432720405,9.04317499471189e-234,0.254653036776847,1.42093998000308e-13,0.854002432720405,0.254653036776847,9
"ENSG00000006042.12","turquoise",0.853663988518219,2.15986221343241e-233,0.207387069348949,2.13014122300581e-09,0.853663988518219,0.207387069348949,10
"ENSG00000121297.8","turquoise",0.852501547245035,4.2252588825367e-232,0.216664912101679,3.80509832306678e-10,0.852501547245035,0.216664912101679,11
"ENSG00000168077.14","turquoise",0.850596367297371,5.2307470032724e-230,0.209444731167978,1.46371260392337e-09,0.850596367297371,0.209444731167978,12
"ENSG00000092096.19","turquoise",0.84743081201096,1.3549917972079e-226,0.25232784874448,2.3968590664599e-13,0.84743081201096,0.25232784874448,13
"ENSG00000134247.10","turquoise",0.847338944830387,1.69759287681818e-226,0.247484607968774,7.00266609828294e-13,0.847338944830387,0.247484607968774,14
"ENSG00000082512.15","turquoise",0.847307053781856,1.83570398656613e-226,0.244955772750921,1.21466767020045e-12,0.847307053781856,0.244955772750921,15
"ENSG00000140937.14","turquoise",0.846504352820555,1.30693565213867e-225,0.268990517268084,5.02657064243172e-15,0.846504352820555,0.268990517268084,16
"ENSG00000160293.17","turquoise",0.844959242851852,5.53908256615794e-224,0.250394025235599,3.68760815771696e-13,0.844959242851852,0.250394025235599,17
"ENSG00000162576.17","turquoise",0.844283449077211,2.81538221069873e-223,0.237398647326097,6.07223630700346e-12,0.844283449077211,0.237398647326097,18
"ENSG00000135046.14","turquoise",0.843979743942765,5.83130459957249e-223,0.239922797461649,3.56905910780941e-12,0.843979743942765,0.239922797461649,19
"ENSG00000134874.18","turquoise",0.842790515486533,9.94371140413749e-222,0.275945900872101,9.22690780121666e-16,0.842790515486533,0.275945900872101,20
"ENSG00000138119.17","turquoise",0.841986305833411,6.67940266535172e-221,0.270758788139936,3.28181386238134e-15,0.841986305833411,0.270758788139936,21
"ENSG00000162636.16","turquoise",0.841650381191789,1.47533068372564e-220,0.167221096216447,1.51513900602429e-06,0.841650381191789,0.167221096216447,22
"ENSG00000164402.14","turquoise",0.840874534661576,9.13424713897675e-220,0.232516704371831,1.66824815776388e-11,0.840874534661576,0.232516704371831,23
"ENSG00000106333.13","turquoise",0.840419732119867,2.64753700011408e-219,0.276585874098521,7.87493254612879e-16,0.840419732119867,0.276585874098521,24
"ENSG00000118495.21","turquoise",0.83859058127862,1.84952929788793e-217,0.175355644688466,4.49320288915449e-07,0.83859058127862,0.175355644688466,25
"ENSG00000115252.18","turquoise",0.837383025801437,2.96460466041259e-216,0.270050437625859,3.89448661707591e-15,0.837383025801437,0.270050437625859,26
"ENSG00000122694.16","turquoise",0.836242392828128,3.99071812592058e-215,0.2054588003225,3.01714541067238e-09,0.836242392828128,0.2054588003225,27
"ENSG00000100842.13","turquoise",0.835135773458538,4.87735273706079e-214,0.22688526611438,5.20490818036441e-11,0.835135773458538,0.22688526611438,28
"ENSG00000050165.19","turquoise",0.835132614887983,4.91219443993229e-214,0.224885486069804,7.74073158515741e-11,0.835132614887983,0.224885486069804,29
"ENSG00000140931.20","turquoise",0.833579629373121,1.59711498360564e-212,0.26502718364569,1.29220024227924e-14,0.833579629373121,0.26502718364569,30
"ENSG00000272037.1","midnightblue",0.824581264438084,4.64587271657378e-204,0.143196712448685,3.94864109005178e-05,0.824581264438084,0.143196712448685,1
"ENSG00000281026.1","midnightblue",0.800384957786534,1.62289740969178e-183,0.232820016078177,1.56775099047697e-11,0.800384957786534,0.232820016078177,2
"ENSG00000227782.2","midnightblue",0.791187781704866,1.94693738144592e-176,0.274480582055811,1.32411313508029e-15,0.791187781704866,0.274480582055811,3
"ENSG00000258559.2","midnightblue",0.781052404004599,4.87337311731289e-169,0.297926362281176,3.13843233863535e-18,0.781052404004599,0.297926362281176,4
"ENSG00000287299.1","midnightblue",0.764946186078026,4.62012554337652e-158,0.235519462977617,8.98379216089376e-12,0.764946186078026,0.235519462977617,5
"ENSG00000250116.2","midnightblue",0.764480428833643,9.30912027288236e-158,0.176489234357273,3.77585677034225e-07,0.764480428833643,0.176489234357273,6
"ENSG00000271533.1","midnightblue",0.725563469863509,1.37068048137758e-134,0.179359066915248,2.41881249485502e-07,0.725563469863509,0.179359066915248,7
"ENSG00000286242.1","midnightblue",0.722867540462394,3.92326521767665e-133,0.183999696497303,1.15938740830844e-07,0.722867540462394,0.183999696497303,8
"ENSG00000133740.11","midnightblue",0.713269405260272,4.39008330131783e-128,0.157484440429917,6.02398041191405e-06,0.713269405260272,0.157484440429917,9
"ENSG00000246451.2","midnightblue",0.712196819833399,1.56225397681102e-127,0.244924520727226,1.22291627704168e-12,0.712196819833399,0.244924520727226,10
"ENSG00000228107.1","midnightblue",0.71185763239389,2.33107990880971e-127,0.121658661342547,0.000488174414497206,0.71185763239389,0.121658661342547,11
"ENSG00000265194.1","midnightblue",0.711197660974107,5.07008406650497e-127,0.264570690496937,1.43920309257328e-14,0.711197660974107,0.264570690496937,12
"ENSG00000272078.1","midnightblue",0.710964198779117,6.67054854594261e-127,0.261089907712845,3.25053596469966e-14,0.710964198779117,0.261089907712845,13
"ENSG00000279700.1","midnightblue",0.70631138319163,1.49333764400095e-124,0.260759023601077,3.51009322296122e-14,0.70631138319163,0.260759023601077,14
"ENSG00000286186.1","midnightblue",0.700115324507628,1.70909112076645e-121,0.244991131169385,1.20540092326528e-12,0.700115324507628,0.244991131169385,15
"ENSG00000279744.1","midnightblue",0.696354643162743,1.12448644676247e-119,0.262306068227034,2.44862513460074e-14,0.696354643162743,0.262306068227034,16
"ENSG00000287134.1","midnightblue",0.694009850803986,1.48035039562787e-118,0.134540431172588,0.000113560243850095,0.694009850803986,0.134540431172588,17
"ENSG00000280378.1","midnightblue",0.683899048511625,7.52046147390785e-114,0.105215660002305,0.00258673437160619,0.683899048511625,0.105215660002305,18
"ENSG00000259820.1","midnightblue",0.678728881300959,1.61943422503692e-111,0.20315465834178,4.55339151255046e-09,0.678728881300959,0.20315465834178,19
"ENSG00000231731.7","midnightblue",0.678448778184273,2.15969866492837e-111,0.0413757340074379,0.237177317980849,0.678448778184273,0.0413757340074379,20
"ENSG00000261669.1","midnightblue",0.67698783018406,9.64416449638613e-111,0.202832197506561,4.82150721013513e-09,0.67698783018406,0.202832197506561,21
"ENSG00000272054.1","midnightblue",0.672588837965031,8.28902554499754e-109,0.162615833118227,2.94003099244815e-06,0.672588837965031,0.162615833118227,22
