"gene","module"
"ENSG00000137843.12","blue"
"ENSG00000091831.25","blue"
"ENSG00000254519.5","brown"
"ENSG00000132953.18","blue"
"ENSG00000177354.12","blue"
"ENSG00000246465.1","blue"
"ENSG00000162745.11","turquoise"
"ENSG00000234899.11","blue"
"ENSG00000168077.14","turquoise"
"ENSG00000129226.14","brown"
"ENSG00000132464.13","yellow"
"ENSG00000104635.15","black"
"ENSG00000273540.5","yellow"
"ENSG00000261613.2","grey"
"ENSG00000279484.2","black"
"ENSG00000178821.13","blue"
"ENSG00000258584.2","darkred"
"ENSG00000127948.16","brown"
"ENSG00000253389.2","blue"
"ENSG00000225614.4","orange"
"ENSG00000112562.20","turquoise"
"ENSG00000102683.8","blue"
"ENSG00000229821.1","turquoise"
"ENSG00000120162.10","black"
"ENSG00000101938.15","turquoise"
"ENSG00000080709.16","blue"
"ENSG00000187642.9","yellow"
"ENSG00000144893.13","turquoise"
"ENSG00000152785.8","darkgreen"
"ENSG00000158406.6","grey60"
"ENSG00000104332.12","turquoise"
"ENSG00000174171.7","blue"
"ENSG00000103257.9","black"
"ENSG00000234719.9","grey"
"ENSG00000249679.3","blue"
"ENSG00000106484.16","turquoise"
"ENSG00000163817.16","green"
"ENSG00000211895.5","paleturquoise"
"ENSG00000036448.10","yellow"
"ENSG00000018280.17","black"
"ENSG00000099725.14","grey"
"ENSG00000280323.1","brown"
"ENSG00000214942.6","blue"
"ENSG00000186051.7","blue"
"ENSG00000244405.8","brown"
"ENSG00000256209.2","black"
"ENSG00000232977.7","blue"
"ENSG00000183117.20","grey"
"ENSG00000164308.17","turquoise"
"ENSG00000140557.12","turquoise"
"ENSG00000143502.16","steelblue"
"ENSG00000187715.13","blue"
"ENSG00000197253.13","cyan"
"ENSG00000171791.14","blue"
"ENSG00000211592.8","paleturquoise"
"ENSG00000170145.5","brown"
"ENSG00000168143.9","blue"
"ENSG00000170162.14","blue"
"ENSG00000124935.4","blue"
"ENSG00000109854.14","brown"
"ENSG00000230438.8","blue"
"ENSG00000087884.15","blue"
"ENSG00000115592.11","yellow"
"ENSG00000230316.8","turquoise"
"ENSG00000159388.6","orange"
"ENSG00000069424.16","black"
"ENSG00000116661.11","red"
"ENSG00000287733.1","brown"
"ENSG00000180139.11","turquoise"
"ENSG00000140285.12","turquoise"
"ENSG00000280670.3","grey"
"ENSG00000088756.13","blue"
"ENSG00000185290.4","grey"
"ENSG00000162552.15","blue"
"ENSG00000167767.14","greenyellow"
"ENSG00000157514.18","brown"
"ENSG00000138135.7","turquoise"
"ENSG00000265787.2","blue"
